,filename,title,incident_start_time,incident_detected_time,incident_end_time,severity_level,summary,incident_duration,time_to_detect,time_to_resolve,services,service_impact_type,components,component_root_cause,impact,user_impact_type,root_cause,category_root_cause,symptom,symptom_type
107,2023-01-30_kartotherian.wikitext,Kartotherian Service Outage due to Deployment Rollback Failure,2023-01-30 12:46:00,2023-01-30 12:27:00,2023-01-30 13:31:00,Sev(3),"An upgrade to Kartotherian caused spurious Icinga alerts, leading to a rollback that failed due to non-robust configuration templates, resulting in an outage of the maps service.",00:45:00,23:41:00,01:04:00,Maps,Other,"Kartotherian,deployment configuration templates","Web Servers & Application Layers, Code Deployment & Version Control",No maps were rendered during the outage.,Partial Service Outage,"Non-robustness in the Kartotherian deployment configuration templates, which failed when deploying without the '--env' flag.",Configuration Errors,"Icinga alerts for 'kartotherian endpoints health' in #wikimedia-operations, detecting unusual template variables in URLs and unexpected status codes. For example, an alert in Icinga reported: 'Test Untitled test returned the unexpected status 301 (expecting: 200)', among others.",Service Probes and Health Checks Failures
108,2022-08-16_x2_databases_replication_breakage.wikitext,MediaWiki MainStash Replication Break Incident,2022-08-16 04:07:58,2022-08-16 03:08:12,2022-08-16 04:43:22,Sev(2),"Replication broke between local MainStash databases, causing user-noticeable exceptions during edit-related activities due to a previously undiscovered bug in MediaWiki's handling of replica failures.",00:35:24,23:00:14,01:35:10,"MediaWiki,MainStash","MediaWiki Core Services, Caching and Proxy Services","x2 database section,MediaWiki shutdown handler,x2 database section,ChronologyProtector,cross-dc replication","Databases, Other","For 36 minutes, errors were noticeable for some editors during edit-related actions, although saving edits was unaffected. Approximately 1 hour of volatile cache data was lost.","Partial Service Outage, Cache Issues","A previously undiscovered bug in how MediaWiki handles failures of local MainStash replicas, combined with improper replication and ChronologyProtector configuration, led to user-noticeable errors.","Software Bugs, Configuration Errors","The issue was first detected through 2 alert pages sent as soon as internal replication broke on the primary x2 servers, prompting further pages about the replicas and user reports of errors during edit-related activities.","Database Errors, User Reported Problems"
109,2021-09-13_cirrussearch_restart.wikitext,Impact of Puppet Change on Cirrus Elasticsearch System,2021-09-13 16:29:00,2021-09-13 16:29:00,2021-09-13 18:34:00,Sev(3),"Applying a change to the cirrus elasticsearch systemd unit triggered puppet to restart elasticsearch services, leading to cluster instability and cascading failures. Full recovery took approximately 2 hours and 5 minutes.",02:05:00,00:00:00,02:05:00,"en.wikipedia.org,API opensearch",Other,"Elasticsearch,puppet-agent,Elasticsearch,PyBal,MediaWiki api_appserver,PoolCounter","Databases, Monitoring & Telemetry, Web Servers & Application Layers, Load Balancers",For about 2 hours (from 16:29 until 18:34) search requests on en.wikipedia.org (and likely other wikis) failed with 'An error has occurred while searching: Search is currently too busy. Please try again later.' Search suggestions from API opensearch were absent or delayed. The api_appserver cluster saw higher average latency due to the proportion of search queries.,"Partial Service Outage, Elevated Response Times and Latencies, Increased Error Rates, API Failures","A change in the cirrus elasticsearch systemd unit triggered puppet to restart the elasticsearch services on multiple hosts simultaneously, causing cluster instability and a cascading failure scenario.","Configuration Errors, Software Bugs","The issue was first detected with a 'PyBal backends health check' alert indicating critical issues with elasticsearch hosts, followed by an 'ElasticSearch health check' for shards showing critical status, and the 'production-search-codfw' cluster dropping into red status.","Service Probes and Health Checks Failures, Network Connectivity Problems, Cache Layer Anomalies"
110,2020-05-11_thumbor.wikitext,Thumbor Service Incident due to High Volume of Requests,2020-05-11 12:11:00,2020-05-11 12:47:00,2020-05-11 13:26:00,Sev(3),"An external client issued a large number of requests for nonexistent images on commons, causing the thumbor service to return 503 errors and triggering an alert.",01:15:00,00:36:00,00:39:00,thumbor,Media Storage and File Handling,"eqiad,esams,haproxy,swift,haproxy","Databases, Web Proxies, Caching Servers, Load Balancers, Networking Equipment","Approximately 291,000 image thumbnailing/resizing requests failed and were returned as 503 errors, affecting users primarily in Europe and the East Coast of the American Continents.","Partial Service Outage, Increased Error Rates","The per-IP throttling in Thumbor was inadequate, allowing a single client to overload the service by keeping many workers busy with excessive requests.","Capacity Overloads, Configuration Errors","The issue was detected 40 minutes after it began when icinga paged the team, alerting about the entirety of the service. Graphs showed a spike in 404 and 503 errors, and latencies increased significantly.","Latency and Timeout Issues, Service Probes and Health Checks Failures, User Reported Problems"
111,2020-07-23_wdqs-outage.wikitext,Wikidata Query Service Outage,2020-07-23 17:11:00,2020-07-23 17:24:00,2020-07-23 18:44:00,Sev(2),"Various Wikidata Query Service instances were down due to failing readiness probes, with errors in blazegraph logs that required a restart for resolution.",01:33:00,00:13:00,01:20:00,Wikidata Query Service,Wikidata Query Service,"blazegraph,wdqs_80,wdqs_80,wdqs_80,PyBal","Databases, Web Servers & Application Layers, Load Balancers",There was a period of a few minutes where there was a full outage; all WDQS queries failed to complete during this window. There was a more extended period of degraded service where a subset of queries would fail depending on which instance received the request.,"Complete Service Outage, Partial Service Outage","The incident was due to 'bad queries' that were too taxing on the system, causing individual instances of blazegraph to go offline. Restarts were required to temporarily resolve the issue until problematic queries could be identified and blocked.","Database Issues, Capacity Overloads","The issue was first detected when a critical alert was issued and communicated through IRC, indicating that too many nodes were down, affecting full availability. The initial critical alerts that fired included 'PyBal backends health check on lvs2009', 'PyBal IPVS diff check on lvs2010', and 'PyBal backends health check on lvs2010'.",Service Probes and Health Checks Failures
112,2024-05-31_Image_hotlinking.wikitext,Hotlinking Caused Link Saturation in EQSIN Datacentre,2024-05-31 10:47:04,2024-05-31 10:47:04,2024-05-31 12:39:53,Sev(2),Hotlinking of an image on Commons caused link saturation in the eqsin datacentre.,01:52:49,00:00:00,01:52:49,eqsin,Content Delivery Network (CDN) and Edge Cache,"port utilisation,FastNetMon,varnish frontend rule","Monitoring & Telemetry, Networking Equipment, Caching Servers",Increase in response times for users using eqsin.,Elevated Response Times and Latencies,Hotlinking of an image on Commons caused link saturation in the eqsin datacentre.,Unexpected Traffic Surges,"The issue was first detected via paging for port utilisation in eqsin: Primary outbound port utilisation over 80%. Additionally, FastNetMon detected what it perceived as a DDoS attack.","Network Connectivity Problems, Security Vulnerabilities"
113,2021-10-29_graphite.wikitext,Graphite Metrics Backfill Failure During Bullseye Migration,2021-10-21 10:24:00,2021-10-26 16:50:00,2021-12-13 09:12:00,Sev(3),"The backfill process for Graphite metrics silently failed during the Bullseye migration, causing a subset of metrics to experience data loss for data points before October 11th 2021.",1270:48:00,126:26:00,1144:22:00,"Graphite,Grafana",Monitoring and Logging,"whisper-sync backfill process,Graphite hosts (graphite2003,Graphite hosts (graphite2003","Other, Monitoring & Telemetry",A subset of metrics experienced loss of data points before October 11th 2021 due to the failed backfill process.,Data Corruption or Loss,The whisper-sync backfill process failed undetected during the Bullseye migration.,Software Bugs,"Some Grafana dashboards backed by Graphite showed partial data for a subset of metrics, as reported by Lucas Werkmeister.","Cache Layer Anomalies, User Reported Problems"
114,2023-09-28_mw-page-content-change-enrich.wikitext,Incident with Mediawiki Page Content Change Enrichment,2023-09-28 14:33:00,2023-09-28 14:33:00,2023-10-03 14:14:54,Sev(2),"The mw-page-content-change Flink streaming enrichment job failed to produce messages to Kafka due to ongoing Kafka partition reassignment, causing a backlog of delayed messages over several days.",119:41:54,00:00:00,119:41:54,Mediawiki Event Enrichment,Other,"Kafka,Flink,Flink,Kafka,Kafka",Other,"No messages were lost, but they were delayed by several days.",Elevated Response Times and Latencies,"Copying Kafka partitions to new brokers, which starved broker threads and caused the mw-page-content-change Flink streaming enrichment job to fail in producing messages.",Other,"The first detection of the issue was through the MediawikiPageContentChangeEnrichJobManagerNotRunning alert, indicating that the job manager was not running.",Appserver Issues
115,2023-05-02_Phabricator_outage_during_GitLab_maintenance.wikitext,Phabricator Tasks Unloadable during GitLab Maintenance,2023-05-02 08:14:00,2023-05-02 08:14:00,2023-05-02 08:24:00,Sev(2),"During planned GitLab maintenance, Phabricator tasks failed to load for about 10 minutes, displaying an 'Unhandled Exception ('RuntimeException')' error.",00:10:00,00:00:00,00:10:00,"Version Control Tools,Version Control Tools",Other,"GitLabPatchesCustomField,toolpilot,toolpilot",Other,For approximately 10 minutes Phabricator tasks were not loading when GitLab was in maintenance mode.,Partial Service Outage,A Phabricator widget deployed in T324149 caused the issue during the GitLab maintenance.,Software Bugs,"The issue was first detected by users reporting in the #wikimedia-operations IRC channel, with no automated alerts as pages were loading but displaying an error instead of expected contents.",User Reported Problems
116,2024-03-27_Elasticsearch_Omega_Cluster_Failure.wikitext,"CODFW Omega Cluster Incident on March 27, 2024",2024-03-27 21:45:03,2024-03-27 22:00:00,2024-03-27 23:59:00,Sev(2),"Users connecting to the CODFW omega cluster were unable to search wikis, and edits were not indexed due to operator error during decommissioning.",02:13:57,00:14:57,01:59:00,"Wikis Search,Wikis Search",Search and Indexing,"CODFW Omega Cluster,Puppet Patch,Elastic Search Master Servers","Databases, Code Deployment & Version Control, Databases","From Wed Mar 27 21:34:03 2024 to Wed Mar 27 23:59 2024, users connecting to the CODFW omega cluster (comprised of ~1600 smaller wikis) were unable to search these wikis. Edits to the pages during this time were not added to search indices. Larger wikis were not affected.","Partial Service Outage, Data Corruption or Loss","Operator error during the decommissioning of omega masters, including an unexpected cookbook behavior resulting in firewalling off master hosts.","Configuration Errors, Other","A 'master not discovered exception' (503) from the CODFW omega endpoint was noticed by Ryan Kemper, Search Platform SRE.","Service Probes and Health Checks Failures, Network Connectivity Problems"
117,2022-10-15_s6_master_failure.wikitext,Database Master Outage Due to Bad DIMM,2022-10-15 22:37:00,2022-10-15 22:40:00,2022-10-15 23:01:00,Sev(2),"The s6 master, db1131, went offline due to a bad DIMM and required a reboot, mariadb restart, and failover to db1173, resulting in a read-only state for frwiki, jawiki, ruwiki, and wikitech for 24 minutes.",00:24:00,00:03:00,00:21:00,"frwiki,frwiki,frwiki,wikitech",Other,"s6 master,db1131,db1131,db1131,db1131,db1131",Databases,"frwiki, jawiki, ruwiki, and wikitech were read-only for 24 minutes (starting Sunday 12:37 AM in France, 7:37 AM in Japan, and very early- to mid-morning in Russia).",Partial Service Outage,"The s6 master, db1131, experienced multi-bit memory errors in DIMM A6 causing the database server to go offline.",Hardware Failures,The issue was detected when a paging alert was received for 'Host db1131 #page is DOWN: PING CRITICAL - Packet loss = 100%'. Additional alerts followed for MariaDB replica connection errors.,"Network Connectivity Problems, Database Errors"
118,2019-12-31_search-api-traffic-block.wikitext,Wikimedia Search API Traffic Blocking Incident,2019-12-31 19:42:00,2020-01-01 00:43:00,2020-01-01 01:05:00,Sev(3),An accidental deployment blocked all enwiki search API traffic while attempting to block scraping from a specific User-Agent on AWS hosts.,05:23:00,05:01:00,00:22:00,en.wikipedia.org Search API,"Search and Indexing, API and Application Servers","Puppet,VCL configs,VCL configs","Caching Servers, Code Deployment & Version Control","HTTP 403 errors were returned for 59.1k queries over just under five hours, affecting bots and mobile app users accessing the en.wikipedia.org search API.","Increased Error Rates, API Failures",The change to block excessive scraping was mistakenly configured to block all enwiki search API traffic.,Configuration Errors,The issue was detected through a human report in #wikimedia-operations with no automated detection.,User Reported Problems
119,2023-05-05_prometheus_down_in_ulsfo_and_eqsin.wikitext,Prometheus Downtime Incident in ulsfo and eqsin,2023-05-05 00:27:00,2023-05-05 00:27:00,2023-05-05 08:15:00,Sev(3),"Two Prometheus instances were updated from Buster to Bullseye, resulting in an 8-hour downtime in two data centers due to corrupted files.",07:48:00,00:00:00,07:48:00,Prometheus,Monitoring and Logging,"prometheus4002,prometheus4002,WAL directory,WAL directory","Monitoring & Telemetry, Other","Prometheus was down in ulsfo and eqsin for 8 hours, causing loss of observability in two data centers.",Data Corruption or Loss,"Corrupted WAL and/or 'chunks_heads' directory after synchronization, potentially due to a race condition preventing graceful shutdown in the Buster host.","Software Bugs, Hardware Failures","Automated monitoring detected the alert, but a human noticed the outage and triaged it with the alert.",Service Probes and Health Checks Failures
120,2023-11-15_esams_unreachable.wikitext,ESAMS DC Unreachable Incident,2023-11-15 14:04:00,2023-11-15 14:05:00,2023-11-15 14:21:00,Sev(2),"ESAMS DC was unreachable by users, leading to a significant drop in request rate from ~150k req/s to ~91k req/s. The issue was attributed to a reboot of the wrong router linecard.",00:17:00,00:01:00,00:16:00,ESAMS DC,Content Delivery Network (CDN) and Edge Cache,"esams,ncredir,esams","Networking Equipment, Web Proxies, Load Balancers",Users trying to reach Amsterdam DC experienced network errors and delays.,Network Connectivity Problems,"An engineer accidentally restarted the linecard on the wrong router, causing the outage.",Configuration Errors,The outage was first detected by an SRE due to network errors and confirmed by alerts such as 'PROBLEM - Host ncredir3003 is DOWN: PING CRITICAL - Packet loss'.,Network Connectivity Problems
121,2022-05-02_deployment.wikitext,Incident T307349: Deployment Server Data Loss,2022-05-02 11:13:00,2022-05-02 11:13:00,2022-05-02 15:21:00,Sev(2),"For 4 hours, MediaWiki and other services could not be updated or deployed due to data loss on the active deployment server.",04:08:00,00:00:00,04:08:00,"MediaWiki,Other unspecified services",Other,"Deployment server (deploy1002),Deployment server (deploy1002)",Code Deployment & Version Control,"MediaWiki and other services experienced a halt in deployments for 4 hours, affecting updates and new deployments.",Other,"A wrong command `rm -rf` was executed on the active deployment server, causing loss of parts of the `/srv/deployment` directory.",Configuration Errors,"The issue was detected when deployments were halted, and it was identified that parts of the `/srv/deployment` directory were lost on the active deployment server (deploy1002).",Other
122,2021-10-25_s3_db_recentchanges_replica.wikitext,Incident on 2021-10-25 Involving S3 DB Recentchanges Replica,2021-10-25 18:25:00,2021-10-25 18:30:00,2021-10-25 19:06:00,Sev(2),"For ~30 minutes, average HTTP GET latency for mediawiki backends was higher than usual. For ~12 hours, database replicas of many wikis were stale for Wikimedia Cloud Services such as Toolforge.",00:41:00,00:05:00,00:36:00,"WikimediaCloudServices,WikimediaCloudServices,WikimediaCloudServices","Cloud Services and Virtual Private Servers (VPS), Other, MediaWiki Core Services","db1112.eqiad.wmnet,s3 replica,s3 replica",Databases,"For ~30 minutes, average HTTP GET latency for mediawiki backends was higher than usual. For ~12 hours, database replicas of many wikis were stale for Wikimedia Cloud Services such as Toolforge.","Elevated Response Times and Latencies, Storage and Database Failures","The s3 replica (db1112.eqiad.wmnet) that handles recentchanges/watchlist/contributions queries went down, causing confusion over its role and severity, which delayed the appropriate response.","Database Issues, Configuration Errors","The issue was first detected through an icinga alert for the host being down, and subsequently an alert for increased appserver latency on GET requests.","Service Probes and Health Checks Failures, Latency and Timeout Issues"
123,2022-03-27_wdqs_outage.wikitext,WDQS Service Deadlock Incident,2022-03-27 13:51:00,2022-03-27 14:05:03,2022-03-27 14:24:00,Sev(3),WDQS in Codfw entered a state of deadlock that persisted until service restarts were performed.,00:33:00,00:14:03,00:18:57,WDQS,Wikidata Query Service,"wdqs2002,wdqs2002,wdqs2002,wdqs2002,lvs2009,lvs2009",Other,"For 30 minutes, all WDQS queries failed due to an internal deadlock.",Complete Service Outage,An internal deadlock across multiple servers reduced capacity and caused all Codfw WDQS hosts to become unresponsive.,Software Bugs,"The issue was first detected with a critical alert from icinga-wm at 14:05:03 indicating a socket timeout for the LVS wdqs-ssl codfw port 443/tcp, leading to all WDQS queries failing.","Latency and Timeout Issues, Network Connectivity Problems, Service Probes and Health Checks Failures"
124,2023-02-23_PHP_worker_threads_exhaustion.wikitext,Incident: Database Load Issue on db1127,2023-02-23 17:17:00,2023-02-23 17:17:00,2023-02-23 17:42:00,Sev(2),"db1127 was unable to respond to simple statistics queries due to heavy load, compounded by a MariaDB query killer bug.",00:25:00,00:00:00,00:25:00,"api_appserver,php7.4-fpm.service,MediaWiki",API and Application Servers,"MariaDB,MariaDB,MariaDB,MariaDB","Databases, Monitoring & Telemetry, Web Servers & Application Layers, Databases",Minimal user-facing errors served.,Increased Error Rates,"db1127 was running MariaDB 10.6.10 which has a known bug where queries were not properly killed, exacerbated by the server being heavily loaded.","Database Issues, Software Bugs, Capacity Overloads","Automated alert via VictorOps: Critical: PHPFPMTooBusy api_appserver, indicating a saturation of php7.4-fpm.service workers.",High CPU & Resource Utilization
125,2023-09-20_Elasticsearch_unavailable.wikitext,On-wiki Search Unavailability Incident,2023-09-20 14:02:00,2023-09-20 14:08:00,2023-09-20 14:26:07,Sev(3),On-wiki search for all wikis was delayed or unavailable for a subset of end users due to a data center switch.,00:24:07,00:06:00,00:18:07,On-wiki search,Search and Indexing,"Elasticsearch,PoolCounter,Elasticsearch","Databases, Web Servers & Application Layers","For the duration of the incident, on-wiki search was delayed or unavailable for a subset of end users.","Partial Service Outage, Elevated Response Times and Latencies","The root cause was the restbase requests being sent as POST rather than GET, which forced routing to the primary datacenter (codfw) instead of the non-primary (eqiad).",Configuration Errors,"Monitoring caught the issue when the alert 'CirrusSearch codfw 95th percentile latency - more_like' fired, indicating high latency.",Latency and Timeout Issues
126,2020-02-24_esams.wikitext,Router Hardware Failure Causing Service Disruption,2020-02-24 13:52:02,2020-02-24 13:55:55,2020-02-24 14:36:00,Sev(2),A router hardware failure caused widespread issues across multiple regions due to a pre-existing lowered capacity to absorb failures.,00:43:58,00:03:53,00:40:05,"All services for users in Europe,Parts of Asia and Africa reaching via Amsterdam",Content Delivery Network (CDN) and Edge Cache,"cr2-esams,bast3004,MX480 routers",Networking Equipment,"All services were affected for all types of users for large portions of Europe and everyone reaching our projects via Amsterdam, including parts of Asia and Africa. Approximately 47 million queries were lost over an interval of about 20 minutes.","Complete Service Outage, Data Corruption or Loss, Network Connectivity Problems",The incident was caused by coinciding hardware failures in two different routers.,Hardware Failures,"The issue was first detected by humans, with Icinga alerting 1 minute later about cr2-esams, leading to pages being sent to multiple SREs.",Service Probes and Health Checks Failures
127,2021-10-08_network_provider.wikitext,2021-10-08 Network Provider Incident,2021-10-08 16:11:00,2021-10-08 16:11:00,2021-10-08 17:15:00,Sev(3),"For up to an hour, some regions experienced a partial connectivity outage. This primarily affected the US East Coast for ~13 minutes, and Russia for 1 hour.",01:04:00,00:00:00,01:04:00,"Gerrit Code Review,Gerrit Code Review",Other,"Network,Network,Network",Networking Equipment,A subset of readers and contributors from these regions were unable to reach any wiki projects. Services such as Phabricator and Gerrit Code Review were affected as well.,Network Connectivity Problems,The network malfunction was limited to one of many providers we use in the affected regions.,Network Failures,Around 16:11 UTC our (non-paging) monitoring and users reported connectivity issues to and from our Eqiad location. Traceroutes showed a routing loop in a provider's network.,"Network Connectivity Problems, User Reported Problems"
128,2021-11-10_cirrussearch_commonsfile_outage.wikitext,CirrusSearch Commons File Outage Incident Report,2021-11-10 14:00:00,2021-11-10 15:21:00,2021-11-10 16:32:00,Sev(3),"A high volume of search queries submitted by a developer caused the deletion and recreation of a critical index, leading to search failures on Wikimedia Commons and other wikis.",02:32:00,01:21:00,01:11:00,"Search results page on many wikis (except English Wikipedia),Search results page on many wikis (except English Wikipedia)",Search and Indexing,"Elasticsearch queries,Elasticsearch queries,Elasticsearch queries",Databases,"For about 2.5 hours, the Search results page was unavailable on many wikis (except for English Wikipedia). On Wikimedia Commons, the search suggestions feature was also unresponsive.",Partial Service Outage,"A developer submitted a high volume of search queries against the active production Cirrus cluster and later ran `vagrant provision` without properly closing the tunnel, causing the deletion and recreation of the `commonswiki_file_1623767607` index.",Configuration Errors,"The issue was first detected when users reported that searching for files on Commons was impossible. Multiple tickets were filed, the first at 15:21 UTC.",User Reported Problems
129,2022-05-09_exim-bdat-errors.wikitext,Email Rejection Incident - T307873,2022-05-04 01:28:00,2022-05-08 17:07:00,2022-05-09 16:40:00,Sev(2),"From May 4 to May 9, 2022, approximately 14,000 emails from Gmail users to wikimedia.org were rejected and returned to the senders due to an issue with Exim’s chunking support.",135:12:00,111:39:00,23:33:00,"Email,Email",Other,"SMTP,SMTP,SMTP",Other,"During five days, about 14,000 incoming emails from Gmail users to wikimedia.org were rejected and returned to sender.",Other,"Disabling chunking support in Exim, which caused it to reject emails with a '503 BDAT command used when CHUNKING not advertised' error.",Configuration Errors,"The issue was detected by users reporting bounced emails with a 503 error code. Though the messages were logged, the alerting system did not pick up these bounces.","User Reported Problems, Network Connectivity Problems"
130,2021-11-23_Core_Network_Routing.wikitext,2021-11-23 Core Network Routing Incident,2021-11-23 09:37:00,2021-11-23 09:39:00,2021-11-23 09:51:00,Sev(2),"For about 12 minutes, Eqiad was unable to reach hosts in other data centers (e.g., cache PoPs) via public IP addresses due to a BGP routing error. There was no impact on end-user traffic, and internal traffic generally uses local IP subnets that are routed with OSPF instead of BGP.",00:14:00,00:02:00,00:12:00,"Internal Traffic,Edge Caching Clusters (e.g.,Edge Caching Clusters (e.g.","Caching and Proxy Services, Content Delivery Network (CDN) and Edge Cache","cr1-eqiad,cr1-eqiad,BGP Routing",Networking Equipment,"For about 12 minutes, Eqiad was unable to reach hosts in other data centers (e.g., cache PoPs) via public IP addresses due to a BGP routing error. There was no impact on end-user traffic, and internal traffic generally uses local IP subnets that are routed with OSPF instead of BGP.",Network Connectivity Problems,"A change was made on cr1-eqiad and cr2-eqiad to influence route selection in BGP, which caused a routing loop as the core routers mis-evaluated the preferable routes to remote sites.",Configuration Errors,"Alerts fired at 09:39, the first being due to Icinga in Eqiad failing to reach the public text-lb address in Eqsin (Singapore).","Network Connectivity Problems, Service Probes and Health Checks Failures"
131,2020-01-26_app_server_latency.wikitext,Surge in Requests due to Kobe Bryant's Death Announcement,2020-01-26 19:50:00,2020-01-26 19:52:33,2020-01-26 21:04:00,Sev(3),"News of Kobe Bryant's death caused a surge in edits and page views, leading to high request loads and general unavailability of the MediaWiki application layer for over an hour.",01:14:00,00:02:33,01:11:27,"Application Servers,Application Servers,Cache Servers,Application Servers","MediaWiki Core Services, API and Application Servers, Caching and Proxy Services","Poolcounter,Network link,Mcrouters,Appserver cluster,Appserver cluster,Varnish-fes,Kartotherian","Caching Servers, Networking Equipment, Caching Servers, Cluster Management, Cluster Management, Caching Servers, Web Servers & Application Layers","1 hour of almost complete unavailability of the backend servers. A large number of requests to the sites timed out or got an error response, resulting in almost 90% of backend requests failing.","Complete Service Outage, Increased Error Rates","High contention in editing/parsing and saturation of the network link of two memcached servers due to high edit/reparse activity, leading to a spike in latencies and cache-misses for babel calls from the appservers.","Capacity Overloads, Network Failures","The issue was first detected by monitoring, triggering alerts at 19:52 UTC with problems reported for MediaWiki memcached error rate, high average GET latency for mw requests, and LVS HTTPS IPv4 on text-lb.codfw.wikimedia.org.","Cache Layer Anomalies, Latency and Timeout Issues, Network Connectivity Problems"
132,2020-09-09_mobileapps_config_change.wikitext,Faulty Configuration Deployment Impacting Mobile Apps Services,2023-10-11 08:40:00,2023-10-11 16:40:00,2023-10-11 20:20:00,Sev(2),"A faulty configuration was deployed for mobileapps at 08:40, causing mobile-html content to have broken CSS and JS links for pages regenerated during the day. The issue was reported at 16:40 and swiftly reverted, with all affected pages purged by 20:20.",11:40:00,08:00:00,03:40:00,mobileapps,API and Application Servers,mobile-html content,Web Servers & Application Layers,Users experienced broken CSS and JS links in mobile-html content for pages regenerated during the day.,Cache Issues,A faulty configuration was deployed during the reconfiguration of services to use the service proxy middleware for remote procedure calls.,Configuration Errors,"The issue was first detected and reported at 16:40, identified by broken CSS and JS links in mobile-html content for affected pages.","Cache Layer Anomalies, User Reported Problems"
133,2020-09-08_Rack_D_hosts_outage.wikitext,Power Cable Issue in ASW2-D3-Eqiad During PDU Upgrade,2023-10-09 13:34:00,2023-10-09 13:34:00,2023-10-09 15:02:00,Sev(3),"A power cable issue in asw2-d3-eqiad during a scheduled PDU upgrade caused hosts in racks D1, D3, and D4 to be unavailable from 13:34 UTC to 15:02 UTC. The switch rebooted into a different firmware image which then had to be upgraded to restore normal operations.",01:28:00,00:00:00,01:28:00,"Wikifeeds,Horizon,dns1002,stat1005,stat1005",Other,"webrequest,EventLogging,bacula,ferm,EX switches","Monitoring & Telemetry, Monitoring & Telemetry, Other, Networking Equipment, Networking Equipment",Wikifeeds was not working properly; Horizon unavailability broke the creation and updating of WMCS images; dns1002 flapped causing sporadic DNS lookup failures for eqiad hosts; logins failed to stat1005 and stat1006. Kafka-jumbo1006 unavailability led to some data loss for webrequest and EventLogging topics; errors and failures in some bacula full backups; ferm was broken on about 30 hosts causing manual restarts.,"Complete Service Outage, Partial Service Outage, Network Connectivity Problems, Data Corruption or Loss, Storage and Database Failures","Asw-d3-eqiad rebooted into a different boot partition with a different JunOS version, causing it to be 'inactive' in the VCF.","Configuration Errors, Hardware Failures","Hosts in racks D1, D3, and D4 became unavailable; alerted by host unavailability and multiple service disruptions including DNS lookup failures, login failures, and data loss.","Network Connectivity Problems, Service Probes and Health Checks Failures, User Reported Problems"
134,2022-11-15_asw1-eqsin.wikitext,Outage Report for APAC Region Due to Juniper Bug,2022-11-15 04:51:00,,2022-11-15 04:56:00,Sev(2),"A new server connection to eqsin top of rack switches triggered a Juniper bug, causing a process to be killed and interrupting traffic, including a Virtual-Chassis master switchover, leading to a 5-minute outage.",00:05:00,00:00:00,00:00:00,eqsin,"Caching and Proxy Services, Content Delivery Network (CDN) and Edge Cache","Juniper switch,Juniper switch",Networking Equipment,"For about 5 minutes, users in the APAC region (using eqsin) could have been served 5xx errors instead of the requested page.","Partial Service Outage, Increased Error Rates",Connecting a new server to the eqsin top of rack switches triggered a Juniper bug which caused traffic interruptions and a Virtual-Chassis master switchover.,"Network Failures, Hardware Failures, Software Bugs","Automated monitoring detected an incident due to 5xx error rates. No pages were made despite user impact, and no task was documented during the outage.","Appserver Issues, Database Errors, Latency and Timeout Issues"
135,2022-11-04_Swift_issues.wikitext,Swift Service Availability Issues Affecting Commons/Multimedia,2022-11-04 14:32:00,2022-11-04 14:32:00,2022-11-04 15:21:00,Sev(3),"For 49 minutes, the Swift/mediawiki file backend returned errors for both reads and new uploads.",00:49:00,00:00:00,00:49:00,"Application Frameworks,Utilities,File Handling & Transfer",Media Storage and File Handling,"file backend,thumbor,swift-proxy,ms-fe1010,ms-fe1010,ms-fe1010,ms-fe1010","Caching Servers, Web Servers & Application Layers",Swift has reduced service availability affecting Commons/multimedia.,Partial Service Outage,Incomplete or outdated documentation for Swift led to delayed problem resolution.,Other,The issue was detected automatically and the engineers On Call received a page from Splunk on Call. Alerts such as ProbeDown firing and Swift https backend on ms-fe1010 being CRITICAL due to a socket timeout were observed.,"Service Probes and Health Checks Failures, Latency and Timeout Issues, Network Connectivity Problems"
136,2019-08-20_logstash.wikitext,Logstash Outage Incident Review,2019-01-01 23:10:00,2019-01-01 23:24:00,2019-01-01 23:40:00,Sev(2),"For about 30 minutes, Logstash was not receiving any messages from the MediaWiki servers.",00:30:00,00:14:00,00:16:00,"MediaWiki,MediaWiki","MediaWiki Core Services, Monitoring and Logging","Logstash-Kafka consumer,Logstash-Kafka consumer,Logstash-Kafka consumer",Monitoring & Telemetry,"During the Logstash outage, operational monitoring was impaired, and developers were unable to use WikimediaDebug or deploy new code for MediaWiki and most other services. There was no direct impact on end-users of public services. Logs were recovered when Logstash was restarted.","Partial Service Outage, Elevated Response Times and Latencies, Increased Error Rates",Logstash consumer failed and does not recover by itself.,Software Bugs,The issue was first detected by Icinga alerts indicating too many messages in Kafka logging-eqiad.,"Service Probes and Health Checks Failures, High CPU & Resource Utilization"
